Student_ID,Gender,DegreeType,MajorSpecialization,EnglishScore,LogicalReasoningScore,QuantitativeAptitudeScore,EnglishCluster,LogicalReasoningCluster,QuantitativeAptitudeCluster,english_improvement_status,logicalreasoning_improvement_status,quantitativeaptitude_improvement_status
326762,m,B.Tech/B.E.,computer engineering,43.5,46.5,46.5,0,2,0,Needs Improvement,A little more focus,Needs Improvement
125654,m,MCA,computer application,40.5,38.5,58.5,0,0,1,Needs Improvement,Needs Improvement,Does Not Need Improvement
984121,f,B.Tech/B.E.,electronics and communication engineering,46.5,51.0,57.0,2,2,0,A little more focus,A little more focus,Needs Improvement
744799,m,B.Tech/B.E.,computer engineering,50.0,41.5,48.5,2,0,0,A little more focus,Needs Improvement,Needs Improvement
1048133,m,B.Tech/B.E.,electronics and communication engineering,35.0,47.0,40.5,0,2,2,Needs Improvement,A little more focus,A little more focus
1094787,m,B.Tech/B.E.,electronics and communication engineering,61.5,42.5,44.0,1,0,0,Does Not Need Improvement,Needs Improvement,Needs Improvement
661812,f,B.Tech/B.E.,computer science & engineering,34.5,57.0,22.0,0,1,2,Needs Improvement,Does Not Need Improvement,A little more focus
818701,m,B.Tech/B.E.,computer science & engineering,64.0,50.0,54.5,1,2,0,Does Not Need Improvement,A little more focus,Needs Improvement
1063653,m,B.Tech/B.E.,computer science & engineering,49.0,53.0,37.0,2,2,2,A little more focus,A little more focus,A little more focus
189121,m,B.Tech/B.E.,electronics and communication engineering,56.5,51.5,57.5,2,2,0,A little more focus,A little more focus,Needs Improvement
640037,f,B.Tech/B.E.,computer science & engineering,50.0,42.5,38.5,2,0,2,A little more focus,Needs Improvement,A little more focus
906284,m,B.Tech/B.E.,computer science & engineering,55.5,45.0,47.0,2,2,0,A little more focus,A little more focus,Needs Improvement
330544,m,B.Tech/B.E.,mechanical engineering,42.5,41.5,37.5,0,0,2,Needs Improvement,Needs Improvement,A little more focus
643957,m,B.Tech/B.E.,information science engineering,54.5,50.0,45.5,2,2,0,A little more focus,A little more focus,Needs Improvement
335906,f,B.Tech/B.E.,computer engineering,72.5,50.5,41.5,1,2,2,Does Not Need Improvement,A little more focus,A little more focus
657409,m,B.Tech/B.E.,mechanical engineering,38.0,44.0,38.5,0,0,2,Needs Improvement,Needs Improvement,A little more focus
271549,m,B.Tech/B.E.,computer engineering,64.5,46.5,57.5,1,2,0,Does Not Need Improvement,A little more focus,Needs Improvement
964017,m,B.Tech/B.E.,information technology,43.0,57.0,61.5,0,1,1,Needs Improvement,Does Not Need Improvement,Does Not Need Improvement
1066577,m,B.Tech/B.E.,computer science & engineering,70.0,50.5,58.5,1,2,1,Does Not Need Improvement,A little more focus,Does Not Need Improvement
87319,m,B.Tech/B.E.,mechanical engineering,30.5,39.5,45.5,0,0,0,Needs Improvement,Needs Improvement,Needs Improvement
962441,m,B.Tech/B.E.,chemical engineering,54.5,64.5,73.5,2,1,1,A little more focus,Does Not Need Improvement,Does Not Need Improvement
335296,m,B.Tech/B.E.,computer science & engineering,39.5,32.5,58.5,0,0,1,Needs Improvement,Needs Improvement,Does Not Need Improvement
833277,m,B.Tech/B.E.,information technology,46.5,39.0,35.5,2,0,2,A little more focus,Needs Improvement,A little more focus
239756,m,B.Tech/B.E.,computer engineering,49.5,56.5,45.400000000000006,2,1,0,A little more focus,Does Not Need Improvement,Needs Improvement
555652,m,B.Tech/B.E.,electronics and electrical engineering,67.5,60.5,62.0,1,1,1,Does Not Need Improvement,Does Not Need Improvement,Does Not Need Improvement
543832,m,B.Tech/B.E.,electronics and communication engineering,40.5,48.5,68.0,0,2,1,Needs Improvement,A little more focus,Does Not Need Improvement
244546,m,B.Tech/B.E.,electronics and communication engineering,52.5,46.5,64.5,2,2,1,A little more focus,A little more focus,Does Not Need Improvement
610635,f,B.Tech/B.E.,computer science & engineering,48.5,52.5,62.0,2,2,1,A little more focus,A little more focus,Does Not Need Improvement
1076441,m,B.Tech/B.E.,electronics and communication engineering,53.5,43.5,50.0,2,0,0,A little more focus,Needs Improvement,Needs Improvement
754392,m,B.Tech/B.E.,computer science & engineering,51.0,35.5,34.0,2,0,2,A little more focus,Needs Improvement,A little more focus
330813,f,B.Tech/B.E.,electronics and communication engineering,44.5,56.5,61.5,0,1,1,Needs Improvement,Does Not Need Improvement,Does Not Need Improvement
1072316,m,B.Tech/B.E.,electronics and electrical engineering,51.0,59.0,51.0,2,1,0,A little more focus,Does Not Need Improvement,Needs Improvement
1242113,m,B.Tech/B.E.,instrumentation engineering,43.0,47.0,50.0,0,2,0,Needs Improvement,A little more focus,Needs Improvement
1084099,m,B.Tech/B.E.,computer science & engineering,44.0,30.0,28.5,0,0,2,Needs Improvement,Needs Improvement,A little more focus
435378,m,B.Tech/B.E.,mechanical engineering,56.5,47.5,46.400000000000006,2,2,0,A little more focus,A little more focus,Needs Improvement
108999,f,B.Tech/B.E.,electronics and communication engineering,44.5,46.5,56.5,0,2,0,Needs Improvement,A little more focus,Needs Improvement
982410,m,B.Tech/B.E.,computer science & engineering,40.5,39.5,39.0,0,0,2,Needs Improvement,Needs Improvement,A little more focus
1251678,m,B.Tech/B.E.,computer science & engineering,50.0,54.5,66.5,2,2,1,A little more focus,A little more focus,Does Not Need Improvement
920550,f,B.Tech/B.E.,computer science & engineering,47.5,46.0,53.0,2,2,0,A little more focus,A little more focus,Needs Improvement
134985,m,MCA,computer application,36.5,36.5,42.5,0,0,2,Needs Improvement,Needs Improvement,A little more focus
1062180,m,B.Tech/B.E.,electronics and communication engineering,53.5,50.5,51.0,2,2,0,A little more focus,A little more focus,Needs Improvement
1219078,m,B.Tech/B.E.,computer science & engineering,68.5,56.5,64.5,1,1,1,Does Not Need Improvement,Does Not Need Improvement,Does Not Need Improvement
333542,f,B.Tech/B.E.,information technology,48.5,44.5,57.5,2,2,0,A little more focus,A little more focus,Needs Improvement
619605,m,B.Tech/B.E.,mechanical engineering,59.0,61.0,63.5,1,1,1,Does Not Need Improvement,Does Not Need Improvement,Does Not Need Improvement
921298,m,B.Tech/B.E.,information technology,45.0,51.0,62.0,2,2,1,A little more focus,A little more focus,Does Not Need Improvement
343541,f,B.Tech/B.E.,electronics and communication engineering,60.5,40.400000000000006,45.400000000000006,1,0,0,Does Not Need Improvement,Needs Improvement,Needs Improvement
1284293,m,MCA,computer application,49.0,41.0,48.5,2,0,0,A little more focus,Needs Improvement,Needs Improvement
53838,m,MCA,computer application,36.5,38.5,45.400000000000006,0,0,0,Needs Improvement,Needs Improvement,Needs Improvement
1261333,m,B.Tech/B.E.,information technology,49.0,39.5,48.5,2,0,0,A little more focus,Needs Improvement,Needs Improvement
52923,m,B.Tech/B.E.,information technology,52.5,57.5,65.5,2,1,1,A little more focus,Does Not Need Improvement,Does Not Need Improvement
332800,m,B.Tech/B.E.,electronics and communication engineering,37.5,46.5,26.5,0,2,2,Needs Improvement,A little more focus,A little more focus
1190691,m,B.Tech/B.E.,computer science and technology,45.5,50.5,46.5,2,2,0,A little more focus,A little more focus,Needs Improvement
196482,m,B.Tech/B.E.,electronics and communication engineering,50.5,48.5,61.5,2,2,1,A little more focus,A little more focus,Does Not Need Improvement
110863,m,B.Tech/B.E.,electronics and communication engineering,39.5,42.5,57.5,0,0,0,Needs Improvement,Needs Improvement,Needs Improvement
79007,m,B.Tech/B.E.,information technology,48.5,50.5,37.5,2,2,2,A little more focus,A little more focus,A little more focus
263901,f,B.Tech/B.E.,computer engineering,36.5,51.5,64.5,0,2,1,Needs Improvement,A little more focus,Does Not Need Improvement
552730,f,B.Tech/B.E.,computer science & engineering,37.0,50.0,45.5,0,2,0,Needs Improvement,A little more focus,Needs Improvement
111273,m,B.Tech/B.E.,electronics and communication engineering,48.5,31.5,54.5,2,0,0,A little more focus,Needs Improvement,Needs Improvement
604198,m,B.Tech/B.E.,computer science & engineering,54.5,62.0,51.5,2,1,0,A little more focus,Does Not Need Improvement,Needs Improvement
30122,m,MCA,computer application,27.5,36.5,39.5,0,0,2,Needs Improvement,Needs Improvement,A little more focus
920332,m,MCA,computer application,54.5,53.5,47.0,2,2,0,A little more focus,A little more focus,Needs Improvement
282000,m,B.Tech/B.E.,information technology,37.5,53.5,57.5,0,2,0,Needs Improvement,A little more focus,Needs Improvement
1083018,m,B.Tech/B.E.,electronics and communication engineering,67.5,65.5,58.5,1,1,1,Does Not Need Improvement,Does Not Need Improvement,Does Not Need Improvement
1069526,m,B.Tech/B.E.,computer science & engineering,43.0,35.0,47.5,0,0,0,Needs Improvement,Needs Improvement,Needs Improvement
810018,m,B.Tech/B.E.,information technology,38.0,51.0,51.5,0,2,0,Needs Improvement,A little more focus,Needs Improvement
1262987,m,B.Tech/B.E.,mechanical engineering,30.0,43.5,39.0,0,0,2,Needs Improvement,Needs Improvement,A little more focus
53921,m,B.Tech/B.E.,information technology,55.5,53.5,65.5,2,2,1,A little more focus,A little more focus,Does Not Need Improvement
281866,m,B.Tech/B.E.,electronics and electrical engineering,41.5,52.5,62.5,0,2,1,Needs Improvement,A little more focus,Does Not Need Improvement
1098849,m,B.Tech/B.E.,information technology,52.5,53.0,52.0,2,2,0,A little more focus,A little more focus,Needs Improvement
827639,m,B.Tech/B.E.,electronics and communication engineering,59.0,57.5,63.5,1,1,1,Does Not Need Improvement,Does Not Need Improvement,Does Not Need Improvement
133296,m,B.Tech/B.E.,computer engineering,40.5,58.5,41.5,0,1,2,Needs Improvement,Does Not Need Improvement,A little more focus
878844,m,B.Tech/B.E.,information technology,39.5,42.5,42.5,0,0,2,Needs Improvement,Needs Improvement,A little more focus
295362,f,B.Tech/B.E.,electronics and communication engineering,46.5,59.5,57.5,2,1,0,A little more focus,Does Not Need Improvement,Needs Improvement
811394,m,B.Tech/B.E.,electronics and communication engineering,61.5,41.5,68.0,1,0,1,Does Not Need Improvement,Needs Improvement,Does Not Need Improvement
879261,m,B.Tech/B.E.,mechanical engineering,61.5,52.5,43.0,1,2,2,Does Not Need Improvement,A little more focus,A little more focus
530147,m,B.Tech/B.E.,mechanical engineering,43.0,37.5,53.0,0,0,0,Needs Improvement,Needs Improvement,Needs Improvement
815714,f,B.Tech/B.E.,computer science & engineering,48.5,53.5,59.0,2,2,1,A little more focus,A little more focus,Does Not Need Improvement
1290109,m,B.Tech/B.E.,computer engineering,58.0,47.0,42.5,1,2,2,Does Not Need Improvement,A little more focus,A little more focus
729532,m,B.Tech/B.E.,electronics and communication engineering,38.0,47.5,57.5,0,2,0,Needs Improvement,A little more focus,Needs Improvement
1058583,m,B.Tech/B.E.,computer science & engineering,44.0,42.5,41.5,0,0,2,Needs Improvement,Needs Improvement,A little more focus
390616,m,B.Tech/B.E.,computer engineering,45.5,39.5,38.5,2,0,2,A little more focus,Needs Improvement,A little more focus
283428,m,B.Tech/B.E.,information technology,45.400000000000006,53.5,46.400000000000006,2,2,0,A little more focus,A little more focus,Needs Improvement
64844,m,B.Tech/B.E.,electronics and communication engineering,44.5,45.5,40.5,0,2,2,Needs Improvement,A little more focus,A little more focus
359993,m,B.Tech/B.E.,computer engineering,34.5,37.5,31.5,0,0,2,Needs Improvement,Needs Improvement,A little more focus
82837,m,B.Tech/B.E.,electronics & instrumentation eng,52.5,52.5,56.5,2,2,0,A little more focus,A little more focus,Needs Improvement
239715,m,B.Tech/B.E.,electronics and communication engineering,63.5,52.5,52.5,1,2,0,Does Not Need Improvement,A little more focus,Needs Improvement
831320,m,B.Tech/B.E.,information technology,45.0,55.5,44.5,2,1,0,A little more focus,Does Not Need Improvement,Needs Improvement
601131,m,B.Tech/B.E.,electronics and communication engineering,54.5,60.5,57.5,2,1,0,A little more focus,Does Not Need Improvement,Needs Improvement
1199988,m,B.Tech/B.E.,computer science & engineering,56.0,45.5,40.5,2,2,2,A little more focus,A little more focus,A little more focus
324330,m,B.Tech/B.E.,information technology,40.5,58.5,33.4,0,1,2,Needs Improvement,Does Not Need Improvement,A little more focus
1112865,m,B.Tech/B.E.,electronics & telecommunications,44.0,54.0,53.5,0,2,0,Needs Improvement,A little more focus,Needs Improvement
305041,f,B.Tech/B.E.,computer engineering,53.5,45.5,52.5,2,2,0,A little more focus,A little more focus,Needs Improvement
1062173,m,B.Tech/B.E.,computer science & engineering,32.5,53.0,40.5,0,2,2,Needs Improvement,A little more focus,A little more focus
327623,m,B.Tech/B.E.,information technology,72.5,46.5,55.5,1,2,0,Does Not Need Improvement,A little more focus,Needs Improvement
360992,f,B.Tech/B.E.,electronics and communication engineering,53.5,47.5,41.5,2,2,2,A little more focus,A little more focus,A little more focus
1044759,m,B.Tech/B.E.,electronics and communication engineering,65.0,56.5,59.5,1,1,1,Does Not Need Improvement,Does Not Need Improvement,Does Not Need Improvement
454921,m,B.Tech/B.E.,information technology,58.5,52.5,47.5,1,2,0,Does Not Need Improvement,A little more focus,Needs Improvement
283164,m,B.Tech/B.E.,computer engineering,82.5,50.5,48.5,1,2,0,Does Not Need Improvement,A little more focus,Needs Improvement
1238094,m,M.Tech./M.E.,computer science & engineering,39.5,54.0,53.5,0,2,0,Needs Improvement,A little more focus,Needs Improvement
702081,m,B.Tech/B.E.,electronics and electrical engineering,44.0,65.5,70.5,0,1,1,Needs Improvement,Does Not Need Improvement,Does Not Need Improvement
470741,f,B.Tech/B.E.,computer engineering,52.5,30.5,40.5,2,0,2,A little more focus,Needs Improvement,A little more focus
1088859,m,B.Tech/B.E.,information technology,53.5,47.0,58.5,2,2,1,A little more focus,A little more focus,Does Not Need Improvement
431891,f,B.Tech/B.E.,computer engineering,52.5,43.5,50.5,2,0,0,A little more focus,Needs Improvement,Needs Improvement
272323,f,B.Tech/B.E.,computer engineering,52.5,62.5,58.5,2,1,1,A little more focus,Does Not Need Improvement,Does Not Need Improvement
1008832,m,B.Tech/B.E.,mechanical engineering,57.0,54.5,50.0,2,2,0,A little more focus,A little more focus,Needs Improvement
852303,m,B.Tech/B.E.,electronics and communication engineering,52.0,46.0,62.0,2,2,1,A little more focus,A little more focus,Does Not Need Improvement
794755,f,B.Tech/B.E.,computer science & engineering,61.5,61.0,68.0,1,1,1,Does Not Need Improvement,Does Not Need Improvement,Does Not Need Improvement
535627,m,B.Tech/B.E.,information technology,55.5,60.5,56.0,2,1,0,A little more focus,Does Not Need Improvement,Needs Improvement
612621,m,B.Tech/B.E.,electronics and communication engineering,44.0,31.5,43.0,0,0,2,Needs Improvement,Needs Improvement,A little more focus
797585,m,MCA,computer application,62.5,49.5,43.0,1,2,2,Does Not Need Improvement,A little more focus,A little more focus
294861,m,B.Tech/B.E.,information technology,48.5,50.5,50.5,2,2,0,A little more focus,A little more focus,Needs Improvement
919485,m,B.Tech/B.E.,computer science & engineering,52.0,57.5,65.0,2,1,1,A little more focus,Does Not Need Improvement,Does Not Need Improvement
328471,m,B.Tech/B.E.,electronics and communication engineering,53.400000000000006,57.5,68.5,2,1,1,A little more focus,Does Not Need Improvement,Does Not Need Improvement
319780,f,B.Tech/B.E.,computer engineering,54.5,48.5,54.400000000000006,2,2,0,A little more focus,A little more focus,Needs Improvement
190589,f,B.Tech/B.E.,biotechnology,64.5,48.5,54.400000000000006,1,2,0,Does Not Need Improvement,A little more focus,Needs Improvement
31330,m,B.Tech/B.E.,information technology,44.400000000000006,55.5,69.5,0,1,1,Needs Improvement,Does Not Need Improvement,Does Not Need Improvement
945679,m,B.Tech/B.E.,ceramic engineering,65.0,57.0,75.0,1,1,1,Does Not Need Improvement,Does Not Need Improvement,Does Not Need Improvement
743559,m,B.Tech/B.E.,electronics and communication engineering,45.5,59.5,54.5,2,1,0,A little more focus,Does Not Need Improvement,Needs Improvement
795018,m,MCA,computer application,32.5,47.5,37.0,0,2,2,Needs Improvement,A little more focus,A little more focus
1288243,m,B.Tech/B.E.,information technology,64.0,57.0,49.5,1,1,0,Does Not Need Improvement,Does Not Need Improvement,Needs Improvement
662316,m,B.Tech/B.E.,computer engineering,44.0,56.0,54.5,0,1,0,Needs Improvement,Does Not Need Improvement,Needs Improvement
553393,f,B.Tech/B.E.,electronics and communication engineering,45.0,45.0,44.5,2,2,0,A little more focus,A little more focus,Needs Improvement
928178,m,B.Tech/B.E.,information technology,46.5,47.5,38.5,2,2,2,A little more focus,A little more focus,A little more focus
1044834,m,B.Tech/B.E.,computer science & engineering,58.0,61.5,51.0,1,1,0,Does Not Need Improvement,Does Not Need Improvement,Needs Improvement
47016,m,B.Tech/B.E.,electronics and communication engineering,49.5,46.5,57.5,2,2,0,A little more focus,A little more focus,Needs Improvement
1255815,m,B.Tech/B.E.,mechanical engineering,56.0,34.0,39.0,2,0,2,A little more focus,Needs Improvement,A little more focus
1293567,m,B.Tech/B.E.,computer science & engineering,75.5,64.0,74.0,1,1,1,Does Not Need Improvement,Does Not Need Improvement,Does Not Need Improvement
449905,f,B.Tech/B.E.,computer engineering,46.5,57.5,62.5,2,1,1,A little more focus,Does Not Need Improvement,Does Not Need Improvement
1037712,m,B.Tech/B.E.,electronics and communication engineering,49.0,59.0,65.5,2,1,1,A little more focus,Does Not Need Improvement,Does Not Need Improvement
258837,m,B.Tech/B.E.,electrical engineering,37.5,49.5,44.5,0,2,0,Needs Improvement,A little more focus,Needs Improvement
336787,f,B.Tech/B.E.,information technology,42.5,51.5,65.5,0,2,1,Needs Improvement,A little more focus,Does Not Need Improvement
509967,m,B.Tech/B.E.,mechanical engineering,64.0,61.0,65.0,1,1,1,Does Not Need Improvement,Does Not Need Improvement,Does Not Need Improvement
798860,m,MCA,computer application,53.5,46.0,68.0,2,2,1,A little more focus,A little more focus,Does Not Need Improvement
334430,m,B.Tech/B.E.,electronics and communication engineering,42.5,53.5,60.5,0,2,1,Needs Improvement,A little more focus,Does Not Need Improvement
331226,f,B.Tech/B.E.,electronics and communication engineering,50.5,52.5,50.5,2,2,0,A little more focus,A little more focus,Needs Improvement
794736,m,B.Tech/B.E.,electronics and electrical engineering,73.0,57.0,66.5,1,1,1,Does Not Need Improvement,Does Not Need Improvement,Does Not Need Improvement
325423,m,B.Tech/B.E.,computer engineering,53.5,53.5,45.5,2,2,0,A little more focus,A little more focus,Needs Improvement
823924,m,B.Tech/B.E.,computer science & engineering,48.5,44.0,44.5,2,0,0,A little more focus,Needs Improvement,Needs Improvement
244806,m,B.Tech/B.E.,electronics and electrical engineering,65.5,41.5,48.5,1,0,0,Does Not Need Improvement,Needs Improvement,Needs Improvement
206788,m,MCA,computer application,34.5,38.5,34.5,0,0,2,Needs Improvement,Needs Improvement,A little more focus
803778,m,B.Tech/B.E.,information technology,47.5,50.0,23.5,2,2,2,A little more focus,A little more focus,A little more focus
1125281,m,M.Tech./M.E.,computer science & engineering,63.0,51.0,48.5,1,2,0,Does Not Need Improvement,A little more focus,Needs Improvement
133803,f,B.Tech/B.E.,electrical engineering,45.5,56.5,56.5,2,1,0,A little more focus,Does Not Need Improvement,Needs Improvement
1244355,m,B.Tech/B.E.,computer science & engineering,73.5,59.5,54.5,1,1,0,Does Not Need Improvement,Does Not Need Improvement,Needs Improvement
1204764,m,B.Tech/B.E.,computer science & engineering,45.5,45.5,46.5,2,2,0,A little more focus,A little more focus,Needs Improvement
1187199,m,B.Tech/B.E.,information technology,63.0,56.5,62.0,1,1,1,Does Not Need Improvement,Does Not Need Improvement,Does Not Need Improvement
1083692,m,B.Tech/B.E.,mechanical engineering,50.0,40.0,47.5,2,0,0,A little more focus,Needs Improvement,Needs Improvement
1045625,m,B.Tech/B.E.,metallurgical engineering,45.5,48.5,60.5,2,2,1,A little more focus,A little more focus,Does Not Need Improvement
662630,m,B.Tech/B.E.,electronics & telecommunications,40.400000000000006,49.5,40.5,0,2,2,Needs Improvement,A little more focus,A little more focus
768298,m,B.Tech/B.E.,computer engineering,54.5,67.0,68.0,2,1,1,A little more focus,Does Not Need Improvement,Does Not Need Improvement
212018,f,B.Tech/B.E.,mechanical engineering,50.5,40.400000000000006,52.400000000000006,2,0,0,A little more focus,Needs Improvement,Needs Improvement
997622,m,B.Tech/B.E.,computer science & engineering,58.0,60.5,57.0,1,1,0,Does Not Need Improvement,Does Not Need Improvement,Needs Improvement
